編號,日期,平台,來源頁面,帳號,星等,評論內容,處理狀態,備註
R001,2026-09-03,Google,台北信義門市,林**,1,除濕機水箱滿了不會自動停，水流出來把地板弄濕。,已結案,客服 9/4 電聯，安排換新機
R002,2026-09-05,FB,沐光家電粉專,Chen Y.,,APP 一直連不上 wifi，設定十次了。,已結案,9/5 回覆：改連 2.4G
R003,2026-09-08,蝦皮,沐光官方商城,w***7,5,除濕很快，安靜，很滿意。,已結案,已回覆感謝
R004,2026-09-10,Dcard,家電板,匿名,,沐光 D12 跟 X 牌 12L 選哪台？,已結案,9/10 官方帳號回覆比較重點
R005,2026-09-15,Google,台北信義門市,王**,1,水箱滿了不會自動停，上個月就反映過一次，客服說會處理，結果什麼都沒有。第二次了。,未處理,
R006,2026-09-15,PTT,e-shopping,cooldog77,,沐光除濕機真的很棒，買三個月壞兩次，棒到我想哭 👍,未處理,
R007,2026-09-15,蝦皮,沐光官方商城,a***3,5,吸塵器很好用，吸力夠。但出貨等了八天，客服回訊息要等一天。,未處理,
R008,2026-09-16,FB,沐光家電粉專,Amy Liu,,昨晚 D12 運轉中有燒焦味，還冒白煙，我馬上拔插頭。這樣還能用嗎？很怕。,未處理,
R009,2026-09-16,Dcard,家電板,匿名,,請問 D12 可以放浴室用嗎？洗完澡開一下，會不會有觸電風險？,未處理,
R010,2026-09-16,Google,台中公益門市,張**,5,店員小林很專業，問什麼都答得出來，還幫我算電費。,未處理,
R011,2026-09-16,Google,台北信義門市,咖啡控,5,沐光咖啡的拿鐵超好喝，燕麥奶也有。,未處理,
R012,2026-09-17,蝦皮,沐光官方商城,k***9,1,收到就有刮傷，申請退貨三天沒人理。再不處理我要檢舉了。,未處理,
R013,2026-09-17,Dcard,家電板,小房間除濕日記（追蹤 4.2 萬）,,沐光 A3 濾網三個月就要換，一片 890，一年濾網比機器還貴。不推。,未處理,
R014,2026-09-17,FB,沐光家電粉專,Kevin Huang,,本來擔心會很吵很慢，結果超安靜，除濕也快。推薦給租屋族。,未處理,
R015,2026-09-17,Google,台北信義門市,陳**,5,上次那台換新機已經收到了，謝謝客服小姐，處理很快。,未處理,
R016,2026-09-17,PTT,Lifeismoney,buybuy_tw,,雙 11 前一週才買 D12，今天官網就打八折，很傻眼。有沒有價差補？,未處理,
R017,2026-09-18,Google,台中公益門市,u**,1,爛,未處理,
R018,2026-09-18,Google,台中公益門市,q**,1,爛透了,未處理,
R019,2026-09-18,Google,台中公益門市,z**,1,不推,未處理,
R020,2026-09-18,FB,沐光家電粉專,Peggy Wu,,打客服電話等了二十分鐘，接起來態度很差，講兩句就想掛。,未處理,
R021,2026-09-18,Dcard,租屋板,匿名,,【心得】租屋族除濕實測：沐光 D12 用兩個月，濕度從 78 降到 55，附一週數據圖。,未處理,
R022,2026-09-18,FB,沐光家電粉專,Amy Liu,,已經跟消保官申訴了，也聯絡了記者朋友。你們不回我就等著看。,未處理,
R023,2026-09-19,蝦皮,沐光官方商城,m***2,5,五星是給物流，機器本身第二天就不會轉了。,未處理,
R024,2026-09-19,Google,台北信義門市,Mark T.,4,"Great dehumidifier, very quiet. Shipping was slow though (9 days).",未處理,
R025,2026-09-19,Dcard,家電板,匿名,,空氣清淨機放窗邊、窗戶開著開整天，數值都沒變，是不是壞了？,未處理,
R026,2026-09-19,FB,沐光家電粉專,Jason Lin,,APP 連不上 wifi，設定好幾次都失敗。,未處理,
R027,2026-09-19,PTT,e-shopping,cooldog77,,沐光除濕機真的很棒，買三個月壞兩次，棒到我想哭 👍,未處理,（與 R006 同帳號同內容）
R028,2026-09-20,FB,沐光家電粉專,Grace Ho,,😡😡😡,未處理,
R029,2026-09-20,Google,台北信義門市,李**,3,D8 的遙控器壞了，哪裡買得到？門市說停產了。,未處理,
R030,2026-09-20,FB,沐光家電粉專,Tina Chang,,我們公司想團購 20 台 A3，有窗口嗎？,未處理,
R031,2026-09-20,Dcard,家電板,匿名,,【開箱】沐光 V2 無線吸塵器，寵物毛真的吸得起來，續航實測 38 分鐘。,未處理,
R032,2026-09-20,蝦皮,沐光官方商城,h***5,2,跟照片顏色不一樣，實品比較暗。,未處理,
R033,2026-09-21,Google,台北信義門市,黃**,5,除濕機 CP 值高，客服也有耐心。,未處理,
R034,2026-09-21,PTT,e-shopping,rainyday88,,D12 水箱感應器有人更新韌體後就正常了嗎？我的還是會滿了不停。,未處理,
R035,2026-09-21,FB,沐光家電粉專,Amy Liu,,三天了，沒有人打電話給我。,未處理,
R036,2026-09-21,Dcard,家電板,匿名,,A3 用了半年，濾網指示燈亮了，官網訂閱制到底划不划算？,未處理,
R037,2026-09-21,蝦皮,沐光官方商城,p***1,4,整體不錯，只是說明書字太小。,未處理,
R038,2026-09-21,Google,台中公益門市,吳**,2,門市週日五點就關，上班族根本來不及。,未處理,
